categoria,archivo_local,url_origen,numero,fecha_descarga,fecha_documento,tamano_bytes,num_paginas,titulo_extraido,relevancia_mulc,keywords_encontradas,tiene_version_tachado_negrita
comunicacion_A,data/raw/02_comunicaciones_A/A8257_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8257.pdf,A8257,2026-05-07T19:26:16+00:00,2025-06-12,83762,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8261_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8261.pdf,A8261,2026-05-07T19:26:30+00:00,2025-06-19,83022,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; operaciones cambiarias; operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8262_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8262.pdf,A8262,2026-05-07T19:26:31+00:00,2025-06-19,78315,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8278_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8278.pdf,A8278,2026-05-07T19:27:34+00:00,2025-07-11,426306,33,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio; regimen penal cambiario,
comunicacion_A,data/raw/02_comunicaciones_A/A8296_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8296.pdf,A8296,2026-05-07T19:28:49+00:00,2025-08-07,108643,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio; exportaciones de bienes + liquidacion,
comunicacion_A,data/raw/02_comunicaciones_A/A8307_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8307.pdf,A8307,2026-05-07T19:29:40+00:00,2025-08-25,1229061,153,“Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; operadores de cambio; ingreso de divisas; decreto 260/02; decreto 609/19; sepaimpo; secoexpo; posicion general de cambios; boleto de cambio; bopreal; exportaciones de bienes + liquidacion; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8322_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8322.pdf,A8322,2026-05-07T19:30:38+00:00,2025-09-09,259452,15,“Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; operadores de cambio; posicion general de cambios; boleto de cambio; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8323_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8323.pdf,A8323,2026-05-07T19:30:40+00:00,2025-09-09,370351,16,“Año de la Reconstrucción de la Nación Argentina”,true,mercado de cambios; operadores de cambio; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8330_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8330.pdf,A8330,2026-05-07T19:31:06+00:00,2025-09-18,85977,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; casas de cambio; exportaciones de bienes + liquidacion,
comunicacion_A,data/raw/02_comunicaciones_A/A8331_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8331.pdf,A8331,2026-05-07T19:31:08+00:00,2025-09-18,106355,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8332_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8332.pdf,A8332,2026-05-07T19:31:09+00:00,2025-09-18,104166,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8333_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8333.pdf,A8333,2026-05-07T19:31:09+00:00,2025-09-22,93546,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8335_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8335.pdf,A8335,2026-05-07T19:31:13+00:00,2025-09-22,369981,18,“Año de la Reconstrucción de la Nación Argentina”,true,mercado de cambios; operadores de cambio; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8334_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8334.pdf,A8334,2026-05-07T19:31:13+00:00,2025-09-22,229616,11,“Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; operadores de cambio; posicion general de cambios; boleto de cambio; importaciones de bienes + pago,
