id,categoria,titulo_oficial,archivo_oficial,url_pdf
apnf,normativa_general,Proveedores no financieros de crédito.,t-apnf.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-apnf.pdf
raapal,normativa_general,Ratio de apalancamiento.,t-raapal.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-raapal.pdf
ratio,normativa_general,Ratio de cobertura de liquidez,t-ratio.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ratio.pdf
ratiofn,normativa_general,Ratio de fondeo neto estable.,t-ratiofn.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ratiofn.pdf
rdbcra,normativa_general,Régimen disciplinario a cargo del Banco Central de la República Argentina (Leyes 21.526 y 25.065) y tramitación de sumarios cambiarios (Ley 19.359),t-rdbcra.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-rdbcra.pdf
regpri,normativa_general,Régimen para facilitar la privatización de Bancos Prov. y Municipales y las fusiones y absorciones,t-regpri.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-regpri.pdf
ctacte,normativa_general,Reglamentación de la cuenta corriente bancaria,t-ctacte.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ctacte.pdf
relact,normativa_general,Relación para los activos inmovilizados y otros conceptos,t-relact.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-relact.pdf
repefe,normativa_general,Representantes de entidades financieras del exterior no autorizadas para operar  en el país,t-repefe.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-repefe.pdf
rmrtsd,normativa_general,Requisitos mínimos ges. y ctrol. tec. y seg. de la inf. asociados a los servicios financieros digitales.,t-rmrtsd.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-rmrtsd.pdf
rmgcti,normativa_general,Requisitos mínimos para la gestión y control de los riesgos de tecnología y seguridad de la información,t-rmgcti.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-rmgcti.pdf
reqcac,normativa_general,Requisitos Operativos Mínimos de Tecnología y Sistemas de Información p/ Casas y Agencias de Cambio,t-reqcac.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-reqcac.pdf
secfin,normativa_general,Secreto financiero,t-secfin.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-secfin.pdf
servco,normativa_general,Servicios complementarios de la actividad financiera y actividades permitidas.,t-servco.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-servco.pdf
snp_atm,normativa_general,Sistema Nacional de Pagos - Cajeros automáticos,t-snp-atm.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-atm.pdf
snp_cec,normativa_general,Sistema Nacional de Pagos - Cámaras electrónicas de compensación,t-snp-cec.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-cec.pdf
snp_cheq,normativa_general,Sistema Nacional de Pagos - Cheques y otros instrumentos compensables,t-snp-cheq.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-cheq.pdf
snp_debin,normativa_general,Sistema Nacional de Pagos - Débito Inmediato,t-snp-debin.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-debin.pdf
snp_dd,normativa_general,Sistema Nacional de Pagos - Débitos Directos,t-snp-dd.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-dd.pdf
snp_mep,normativa_general,Sistema Nacional de Pagos - Medio electrónico de pagos (MEP),t-snp-mep.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-mep.pdf
snp_spd,normativa_general,Sistema Nacional de Pagos - Servicios de pago.,t-snp-spd.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-spd.pdf
snp_tr_nc,normativa_general,Sistema Nacional de Pagos - Transferencias - Normas complementarias.,t-snp-tr-nc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-tr-nc.pdf
snp_tr,normativa_general,Sistema Nacional de Pagos - Transferencias.,t-SNP-tr.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-SNP-tr.pdf
socgar,normativa_general,Sociedades de garantía recíproca inscriptas en el Banco Central.,t-socgar.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-socgar.pdf
supcon,normativa_general,Supervisión consolidada,t-supcon.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-supcon.pdf
tasint,normativa_general,Tasas de interés en las operaciones de crédito,t-tasint.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-tasint.pdf
traval,normativa_general,Transportadoras de valores,t-traval.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-traval.pdf
venliq,normativa_general,Ventanilla de liquidez del BCRA.,t-venliq.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-venliq.pdf
verac,normativa_general,Veracidad de las registraciones contables,t-verac.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-verac.pdf
ri2_cs,regimen_informativo,RI - Casas y Agencias de Cambio - Contable Anual,t-RI2-CS.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI2-CS.pdf
ri2_pm,regimen_informativo,RI - Casas y Agencias de Cambio - Plan y Manual de Cuentas,t-RI2-PM.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI2-PM.pdf
ri_dcpc,regimen_informativo,RI - Disposiciones complementarias al plan de cuentas.,RI-DCPC.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/RI-DCPC.pdf
ri_niif,regimen_informativo,RI - Estados financieros para publicación trimestral/anual.,RI-NIIF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/RI-NIIF.pdf
