id,categoria,titulo_oficial,paginas,paginas_cuerpo,secciones,chunks_terminales,mini_chunks,unidades_extraccion,chars_propio_total,usd_e1,usd_e3,usd_total,veredicto
ri_saofe,regimen_informativo,RI Cont. Mensual - Seguimiento de anticipos y otras financiaciones de exportaciones.,3,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_secoexpo,regimen_informativo,RI Cont. Mensual - Seguimiento de las negociaciones de divisas de exportaciones de bienes.,21,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_sef,regimen_informativo,RI Cont. Mensual - Unidades de servicios de las entidades financieras,10,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_spi,regimen_informativo,RI Cont. Mensual - Seguimiento de Pagos de Importaciones.,11,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_tar,regimen_informativo,RI Cont. Mensual - Financiamiento con tarjetas de crédito,7,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_tii,regimen_informativo,RI Cont. Mensual - Transferencias Inmediatas Intraentidades,6,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_transpa,regimen_informativo,RI Cont. Mensual - Transparencia,23,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_tsa,regimen_informativo,RI para supervisión,92,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_tvf,regimen_informativo,RI Cont. Mensual - Títulos Valores,5,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ribspc,regimen_informativo,RI Cont. Mensual - Balance de Saldos.,2,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
seggar,normativa_general,Aplicación del sistema de seguro de garantía de depósitos.,26,14,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
seguef,normativa_general,Medidas mínimas de seguridad en entidades financieras,25,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
verac,normativa_general,Veracidad de las registraciones contables,5,1,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
